Weight	Nested	Procedure	COMPLEXITY	INSTRUCTION	PREM1	PREM2	CONC	VBOPTION	IUOPTION	SYLLNR	BELIEF	VAL	VALIDITY	ATMOSPHERE	FIGURE
1		TrialProc	COMPLEX	LIKING	No newts are aschitations.	Some aschitations are amphibians.	Some amphibians are not newts.	Like	Dislike	1	BELIEVABLE	N	VALID	1	1
1		TrialProc	COMPLEX	LIKING	No yachts are brimbers.	Some brimbers are boats.	Some boats are not yachts.	Like	Dislike	2	BELIEVABLE	N	VALID	1	1
1		TrialProc	COMPLEX	LIKING	No cars are envenches.	Some envenches are Toyotas.	Some Toyotas are not cars.	Like	Dislike	3	UNBELIEVABLE	N	VALID	1	1
1		TrialProc	COMPLEX	LIKING	No dogs are stamuses.	Some stamuses are terriers.	Some terriers are not dogs.	Like	Dislike	4	UNBELIEVABLE	N	VALID	1	1
1		TrialProc	COMPLEX	LIKING	Some mips are fish.	No trouts are mips.	Some fish are not trouts.	Like	Dislike	5	BELIEVABLE	N	VALID	1	2
1		TrialProc	COMPLEX	LIKING	Some trinnels are bees.	No insects are trinnels.	Some bees are not insects.	Like	Dislike	6	UNBELIEVABLE	N	VALID	1	2
1		TrialProc	COMPLEX	LIKING	Some trops are drinks.	No beers are trops.	Some drinks are not beers.	Like	Dislike	7	BELIEVABLE	N	VALID	1	2
1		TrialProc	COMPLEX	LIKING	Some snains are apples.	No fruits are snains.	Some apples are not fruits.	Like	Dislike	8	UNBELIEVABLE	N	VALID	1	2
1		TrialProc	COMPLEX	LIKING	Some vindeces are pieces of furniture.	No vindeces are desks.	Some pieces of furniture are not desks.	Like	Dislike	9	BELIEVABLE	N	VALID	1	4
1		TrialProc	COMPLEX	LIKING	Some queels are cannons.	No queels are weapons.	Some cannons are not weapons.	Like	Dislike	10	UNBELIEVABLE	N	VALID	1	4
1		TrialProc	COMPLEX	LIKING	No vennars are trees.	Some vennars are oaks.	Some oaks are not trees.	Like	Dislike	11	UNBELIEVABLE	N	VALID	1	4
1		TrialProc	COMPLEX	LIKING	No pooblings are hammers.	Some pooblings are tools.	Some tools are not hammers.	Like	Dislike	12	BELIEVABLE	N	VALID	1	4
1		TrialProc	COMPLEX	LIKING	No fruits are curges.	All curges are bananas.	Some bananas are not fruits.	Like	Dislike	13	UNBELIEVABLE	N	VALID	2	1
1		TrialProc	COMPLEX	LIKING	No haddocks are actablances.	All actablances are fish.	Some fish are not haddocks.	Like	Dislike	14	BELIEVABLE	N	VALID	2	1
1		TrialProc	COMPLEX	LIKING	No sodas are bunges.	All bunges are drinks.	Some drinks are not sodas.	Like	Dislike	15	BELIEVABLE	N	VALID	2	1
1		TrialProc	COMPLEX	LIKING	No insects are chails.	All chails are flies.	Some flies are not insects.	Like	Dislike	16	UNBELIEVABLE	N	VALID	2	1
1		TrialProc	COMPLEX	LIKING	All mouts are tools.	No spanners are mouts.	Some tools are not spanners.	Like	Dislike	17	BELIEVABLE	N	VALID	2	2
1		TrialProc	COMPLEX	LIKING	All bartroods are pines.	No trees are bartroods.	Some pines are not trees.	Like	Dislike	18	UNBELIEVABLE	N	VALID	2	2
1		TrialProc	COMPLEX	LIKING	All boodings are swords.	No weapons are boodings.	Some swords are not weapons.	Like	Dislike	19	UNBELIEVABLE	N	VALID	2	2
1		TrialProc	COMPLEX	LIKING	All pylones are pieces of furniture.	No cupboards are pylones.	Some pieces of furniture are not cupboards.	Like	Dislike	20	BELIEVABLE	N	VALID	2	2
1		TrialProc	COMPLEX	LIKING	All firters are Fords.	No firters are cars.	Some Fords are not cars.	Like	Dislike	21	UNBELIEVABLE	N	VALID	2	4
1		TrialProc	COMPLEX	LIKING	All catepies are amphibians.	No catepies are frogs.	Some amphibians are not frogs.	Like	Dislike	22	BELIEVABLE	N	VALID	2	4
1		TrialProc	COMPLEX	LIKING	No dralys are canoes.	All dralys are boats.	Some boats are not canoes.	Like	Dislike	23	BELIEVABLE	N	VALID	2	4
1		TrialProc	COMPLEX	LIKING	No ganches are dogs.	All ganches are spaniels.	Some spaniels are not dogs.	Like	Dislike	24	UNBELIEVABLE	N	VALID	2	4
