Weight	Nested	Procedure	COMPLEXITY	INSTRUCTION	PREM1	PREM2	CONC	VBOPTION	IUOPTION	SYLLNR	BELIEF	VAL	VALIDITY	ATMOSPHERE	FIGURE
1		TrialProc	COMPLEX	LIKING	No parrots are snains.	Some snains are birds.	Some birds are not parrots.	Like	Dislike	1	BELIEVABLE	N	VALID	1	1
1		TrialProc	COMPLEX	LIKING	No cars are fenches.	Some fenches are BMWs.	Some BMWs are not cars.	Like	Dislike	2	UNBELIEVABLE	N	VALID	1	1
1		TrialProc	COMPLEX	LIKING	No toads are shigands.	Some shigands are amphibians.	Some amphibians are not toads.	Like	Dislike	3	BELIEVABLE	N	VALID	1	1
1		TrialProc	COMPLEX	LIKING	No boats are wightes.	Some wightes are kayaks.	Some kayaks are not boats.	Like	Dislike	4	UNBELIEVABLE	N	VALID	1	1
1		TrialProc	COMPLEX	LIKING	Some piffures are wines.	No drinks are piffures.	Some wines are not drinks.	Like	Dislike	5	UNBELIEVABLE	N	VALID	1	2
1		TrialProc	COMPLEX	LIKING	Some tutches are criminals.	No embezzlers are tutches.	Some criminals are not embezzlers.	Like	Dislike	6	BELIEVABLE	N	VALID	1	2
1		TrialProc	COMPLEX	LIKING	Some incibists are bookcases.	No pieces of furniture are incibists.	Some bookcases are not pieces of furniture.	Like	Dislike	7	UNBELIEVABLE	N	VALID	1	2
1		TrialProc	COMPLEX	LIKING	Some hoons are dogs.	No terriers are hoons.	Some dogs are not terriers.	Like	Dislike	8	BELIEVABLE	N	VALID	1	2
1		TrialProc	COMPLEX	LIKING	Some cegarormes are trees.	No cegarormes are oaks.	Some trees are not oaks.	Like	Dislike	9	BELIEVABLE	N	VALID	1	4
1		TrialProc	COMPLEX	LIKING	Some duyumences are tools.	No duyumences are hammers.	Some tools are not hammers.	Like	Dislike	10	BELIEVABLE	N	VALID	1	4
1		TrialProc	COMPLEX	LIKING	No boodings are weapons.	Some boodings are swords.	Some swords are not weapons.	Like	Dislike	11	UNBELIEVABLE	N	VALID	1	4
1		TrialProc	COMPLEX	LIKING	No aschitations are vegetables.	Some aschitations are cabbages.	Some cabbages are not vegetables.	Like	Dislike	12	UNBELIEVABLE	N	VALID	1	4
1		TrialProc	COMPLEX	LIKING	No murderers are punes.	All punes are criminals.	Some criminals are not murderers.	Like	Dislike	13	BELIEVABLE	N	VALID	2	1
1		TrialProc	COMPLEX	LIKING	No pieces of furniture are bunges.	All bunges are sofas.	Some sofas are not pieces of furniture.	Like	Dislike	14	UNBELIEVABLE	N	VALID	2	1
1		TrialProc	COMPLEX	LIKING	No drinks are mips.	All mips are beers.	Some beers are not drinks.	Like	Dislike	15	UNBELIEVABLE	N	VALID	2	1
1		TrialProc	COMPLEX	LIKING	No spaniels are sothods.	All sothods are dogs.	Some dogs are not spaniels.	Like	Dislike	16	BELIEVABLE	N	VALID	2	1
1		TrialProc	COMPLEX	LIKING	All striffs are tools.	No spanners are striffs.	Some tools are not spanners.	Like	Dislike	17	BELIEVABLE	N	VALID	2	2
1		TrialProc	COMPLEX	LIKING	All cosceditions are parsnips.	No vegetables are cosceditions.	Some parsnips are not vegetables.	Like	Dislike	18	UNBELIEVABLE	N	VALID	2	2
1		TrialProc	COMPLEX	LIKING	All revoules are trees.	No pines are revoules.	Some trees are not pines.	Like	Dislike	19	BELIEVABLE	N	VALID	2	2
1		TrialProc	COMPLEX	LIKING	All decottions are spears.	No weapons are decottions.	Some spears are not weapons.	Like	Dislike	20	UNBELIEVABLE	N	VALID	2	2
1		TrialProc	COMPLEX	LIKING	All pinds are birds.	No pinds are sparrows.	Some birds are not sparrows.	Like	Dislike	21	BELIEVABLE	N	VALID	2	4
1		TrialProc	COMPLEX	LIKING	All brimbers are Fords.	No brimbers are cars.	Some Fords are not cars.	Like	Dislike	22	UNBELIEVABLE	N	VALID	2	4
1		TrialProc	COMPLEX	LIKING	No cortemns are boats.	All cortemns are yachts.	Some yachts are not boats.	Like	Dislike	23	UNBELIEVABLE	N	VALID	2	4
1		TrialProc	COMPLEX	LIKING	No remoxtions are frogs.	All remoxtions are amphibians.	Some amphibians are not frogs.	Like	Dislike	24	BELIEVABLE	N	VALID	2	4
1		TrialProc	COMPLEX	LIKING	Some shovels are envenches.	No envenches are tools.	Some tools are not shovels.	Like	Dislike	25	BELIEVABLE	P	INVALID	3	1
1		TrialProc	COMPLEX	LIKING	Some willows are dralys.	No dralys are trees.	Some trees are not willows.	Like	Dislike	26	BELIEVABLE	P	INVALID	3	1
1		TrialProc	COMPLEX	LIKING	Some weapons are glukers.	No glukers are cannons.	Some cannons are not weapons.	Like	Dislike	27	UNBELIEVABLE	P	INVALID	3	1
1		TrialProc	COMPLEX	LIKING	Some vegetables are catepies.	No catepies are radishes.	Some radishes are not vegetables.	Like	Dislike	28	UNBELIEVABLE	P	INVALID	3	1
1		TrialProc	COMPLEX	LIKING	No nickhomes are Toyotas.	Some cars are nickhomes.	Some Toyotas are not cars.	Like	Dislike	29	UNBELIEVABLE	P	INVALID	3	2
1		TrialProc	COMPLEX	LIKING	No renes are birds.	Some ducks are renes.	Some birds are not ducks.	Like	Dislike	30	BELIEVABLE	P	INVALID	3	2
1		TrialProc	COMPLEX	LIKING	No dralis are amphibians.	Some newts are dralis.	Some amphibians are not newts.	Like	Dislike	31	BELIEVABLE	P	INVALID	3	2
1		TrialProc	COMPLEX	LIKING	No ganches are canoes.	Some boats are ganches.	Some canoes are not boats.	Like	Dislike	32	UNBELIEVABLE	P	INVALID	3	2
1		TrialProc	COMPLEX	LIKING	No teartes are whiskeys.	Some teartes are drinks.	Some whiskeys are not drinks.	Like	Dislike	33	UNBELIEVABLE	P	INVALID	3	4
1		TrialProc	COMPLEX	LIKING	No stamuses are desks.	Some stamuses are pieces of furniture.	Some desks are not pieces of furniture.	Like	Dislike	34	UNBELIEVABLE	P	INVALID	3	4
1		TrialProc	COMPLEX	LIKING	Some chails are terrorists.	No chails are criminals.	Some criminals are not terrorists.	Like	Dislike	35	BELIEVABLE	P	INVALID	3	4
1		TrialProc	COMPLEX	LIKING	Some mesoations are labradors.	No mesoations are dogs.	Some dogs are not labradors.	Like	Dislike	36	BELIEVABLE	P	INVALID	3	4
1		TrialProc	COMPLEX	LIKING	No birds are pylones.	Some pylones are crows.	All birds are crows.	Like	Dislike	37	BELIEVABLE	P	INVALID	4	1
1		TrialProc	COMPLEX	LIKING	No Volvos are pumes.	Some pumes are cars.	All Volvos are cars.	Like	Dislike	38	UNBELIEVABLE	P	INVALID	4	1
